HHID,REGIONC,DIVISION,STATE_FIPS,state_postal,state_name,HHSEX,HHAGE,EMPLOYHH,EDUCATION,SDESCENT,HOUSEHOLDER_RACE,NHSLDMEM,NUMCHILD,NUMADULT1,NUMADULT2,ATHOME,MONEYPY
268687,WEST,Mountain North,8,CO,Colorado,1,38,4,4,0,1,2,0,2,0,5,9
194194,SOUTH,South Atlantic,51,VA,Virginia,2,48,1,3,0,1,3,0,3,0,5,16
135107,MIDWEST,East North Central,55,WI,Wisconsin,2,34,1,2,0,1,2,0,2,0,3,13
139322,SOUTH,West South Central,5,AR,Arkansas,1,50,4,1,0,1,6,2,4,0,5,4
33357,WEST,Pacific,6,CA,California,1,51,1,5,0,2,5,3,1,1,5,11
130077,SOUTH,South Atlantic,51,VA,Virginia,1,66,2,2,0,2,2,0,1,1,5,6
473360,SOUTH,South Atlantic,10,DE,Delaware,2,59,3,4,0,1,3,0,3,0,5,12
11604,NORTHEAST,New England,9,CT,Connecticut,1,37,1,3,0,1,1,0,1,0,5,13
75758,SOUTH,South Atlantic,51,VA,Virginia,1,48,1,5,0,1,4,2,2,0,5,15
252732,NORTHEAST,Middle Atlantic,36,NY,New York,1,26,1,4,0,1,1,0,1,0,5,16
439000,SOUTH,East South Central,47,TN,Tennessee,1,25,1,4,0,1,2,0,2,0,5,13
323142,NORTHEAST,New England,25,MA,Massachusetts,2,81,3,3,0,1,2,0,0,2,5,14
48379,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,2,77,3,5,0,1,2,0,0,2,5,10
227749,WEST,Mountain South,4,AZ,Arizona,1,22,2,1,1,1,4,0,4,0,0,1
424120,MIDWEST,West North Central,46,SD,South Dakota,2,37,1,3,0,1,4,2,2,0,2,14
90141,SOUTH,South Atlantic,37,NC,North Carolina,1,34,1,3,0,1,4,2,2,0,5,14
206353,WEST,Mountain South,4,AZ,Arizona,1,60,3,3,0,6,7,3,4,0,5,7
272114,MIDWEST,West North Central,38,ND,North Dakota,1,61,1,3,0,1,1,0,1,0,5,12
74045,NORTHEAST,Middle Atlantic,36,NY,New York,1,47,4,4,1,1,2,1,1,0,5,1
218659,SOUTH,South Atlantic,12,FL,Florida,1,84,3,2,0,1,1,0,0,1,5,7
487954,SOUTH,South Atlantic,37,NC,North Carolina,2,29,2,1,0,1,1,0,1,0,0,6
70172,NORTHEAST,New England,9,CT,Connecticut,2,69,3,2,0,1,1,0,0,1,5,6
99830,SOUTH,South Atlantic,12,FL,Florida,1,67,3,2,0,1,1,0,0,1,5,6
318720,MIDWEST,East North Central,26,MI,Michigan,2,50,1,2,0,1,1,0,1,0,2,11
199360,WEST,Mountain South,4,AZ,Arizona,2,30,1,4,0,1,4,2,2,0,5,16
469321,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,1,70,1,2,0,1,2,0,0,2,5,14
173958,NORTHEAST,New England,33,NH,New Hampshire,2,61,4,3,0,4,3,1,2,0,5,4
448674,WEST,Mountain South,4,AZ,Arizona,2,73,3,3,0,1,2,0,0,2,4,12
78092,SOUTH,West South Central,48,TX,Texas,2,58,1,2,0,1,1,0,1,0,0,12
309184,MIDWEST,West North Central,29,MO,Missouri,1,66,3,2,0,1,2,0,0,2,5,9
302363,SOUTH,West South Central,48,TX,Texas,2,55,4,4,1,1,3,0,3,0,5,12
468988,WEST,Pacific,6,CA,California,2,63,1,1,0,1,2,0,1,1,5,13
212214,SOUTH,South Atlantic,13,GA,Georgia,2,43,1,2,1,1,6,1,5,0,5,14
355924,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,2,67,2,3,0,1,2,0,1,1,2,13
268036,WEST,Mountain North,49,UT,Utah,1,29,4,4,0,1,4,2,2,0,5,14
29705,NORTHEAST,New England,25,MA,Massachusetts,1,43,1,5,0,1,4,2,2,0,2,16
428549,WEST,Pacific,41,OR,Oregon,2,50,1,2,0,1,4,2,2,0,5,15
174413,WEST,Mountain North,49,UT,Utah,2,67,3,2,0,1,3,0,1,2,5,9
435211,SOUTH,South Atlantic,13,GA,Georgia,1,76,3,2,0,1,2,0,0,2,5,5
366569,WEST,Mountain North,8,CO,Colorado,1,34,1,4,0,1,4,2,2,0,5,16
5763,SOUTH,East South Central,47,TN,Tennessee,1,28,1,5,0,1,3,1,2,0,5,13
106149,SOUTH,West South Central,22,LA,Louisiana,2,34,1,5,0,6,1,0,1,0,2,13
265063,NORTHEAST,New England,25,MA,Massachusetts,2,70,3,2,1,1,3,0,2,1,0,15
360667,SOUTH,South Atlantic,45,SC,South Carolina,2,76,3,3,0,2,3,0,1,2,5,13
17970,NORTHEAST,New England,33,NH,New Hampshire,1,24,1,5,0,1,1,0,1,0,5,13
20608,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,1,32,1,3,0,1,3,1,2,0,5,13
336184,SOUTH,West South Central,48,TX,Texas,2,57,2,3,0,2,1,0,1,0,2,1
15910,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,1,49,2,2,0,1,1,0,1,0,3,7
191634,SOUTH,East South Central,21,KY,Kentucky,1,22,1,4,0,1,3,0,3,0,4,14
14426,NORTHEAST,New England,50,VT,Vermont,2,26,1,4,0,1,2,0,2,0,0,12
127668,SOUTH,South Atlantic,13,GA,Georgia,1,69,3,5,0,1,1,0,0,1,5,10
156134,SOUTH,East South Central,21,KY,Kentucky,2,32,1,4,0,1,2,0,2,0,5,14
413371,WEST,Mountain South,32,NV,Nevada,2,67,3,5,0,1,2,0,1,1,5,14
160727,WEST,Mountain North,56,WY,Wyoming,2,68,1,2,0,1,2,0,1,1,5,13
94679,SOUTH,West South Central,48,TX,Texas,2,61,1,4,1,1,3,0,3,0,2,6
390502,MIDWEST,West North Central,38,ND,North Dakota,1,32,4,2,0,3,6,3,3,0,5,4
463829,MIDWEST,West North Central,31,NE,Nebraska,2,39,1,4,0,1,4,2,2,0,5,16
298935,MIDWEST,West North Central,29,MO,Missouri,2,50,1,5,0,4,5,2,3,0,5,15
490945,SOUTH,East South Central,21,KY,Kentucky,1,55,4,3,0,1,1,0,1,0,5,2
271792,SOUTH,South Atlantic,45,SC,South Carolina,2,55,3,4,0,1,6,0,6,0,5,13
165414,SOUTH,West South Central,40,OK,Oklahoma,2,68,2,2,0,3,2,0,0,2,5,9
241469,MIDWEST,West North Central,29,MO,Missouri,1,78,3,4,0,1,1,0,0,1,5,11
318130,MIDWEST,East North Central,17,IL,Illinois,2,33,4,4,1,1,2,0,2,0,5,12
424725,NORTHEAST,New England,23,ME,Maine,2,66,1,3,0,1,3,0,2,1,5,16
30517,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,2,81,3,5,0,1,1,0,0,1,5,16
487097,NORTHEAST,New England,50,VT,Vermont,1,58,1,4,0,1,2,0,2,0,5,16
485622,SOUTH,South Atlantic,12,FL,Florida,1,68,1,3,0,1,3,0,1,2,5,12
266399,NORTHEAST,Middle Atlantic,36,NY,New York,2,74,3,5,0,1,1,0,0,1,0,15
448408,SOUTH,South Atlantic,37,NC,North Carolina,1,41,1,4,0,1,1,0,1,0,0,12
59275,WEST,Mountain South,35,NM,New Mexico,1,58,4,1,0,3,1,0,1,0,5,4
185122,SOUTH,South Atlantic,12,FL,Florida,2,37,1,5,0,1,5,3,2,0,5,14
157854,WEST,Pacific,6,CA,California,1,56,2,4,0,1,6,1,5,0,5,15
10762,SOUTH,West South Central,48,TX,Texas,1,31,1,2,0,1,4,2,2,0,5,16
126560,WEST,Mountain North,30,MT,Montana,2,71,3,5,0,1,2,0,0,2,5,15
496778,MIDWEST,East North Central,39,OH,Ohio,1,87,3,2,0,1,2,0,0,2,5,13
373539,SOUTH,East South Central,47,TN,Tennessee,1,58,4,2,0,1,6,0,5,1,5,7
307934,WEST,Mountain North,8,CO,Colorado,1,52,1,3,0,1,3,1,2,0,5,14
492034,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,2,61,1,2,0,2,5,3,2,0,5,10
458321,SOUTH,South Atlantic,37,NC,North Carolina,2,48,4,2,0,1,1,0,1,0,5,8
421797,MIDWEST,East North Central,26,MI,Michigan,2,69,3,3,0,1,2,0,1,1,5,15
203709,NORTHEAST,New England,33,NH,New Hampshire,1,83,3,4,0,1,1,0,0,1,3,7
182254,SOUTH,West South Central,22,LA,Louisiana,1,46,1,5,0,1,6,3,2,1,5,16
91626,WEST,Pacific,6,CA,California,2,29,1,3,1,1,1,0,1,0,5,8
192051,SOUTH,South Atlantic,11,DC,District of Columbia,1,67,3,5,0,2,2,0,1,1,5,16
404669,NORTHEAST,New England,25,MA,Massachusetts,2,80,2,5,0,1,2,0,0,2,5,15
252137,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,1,59,1,3,0,6,1,0,1,0,1,4
234635,SOUTH,South Atlantic,51,VA,Virginia,2,70,3,3,0,1,2,0,0,2,5,7
92436,SOUTH,East South Central,21,KY,Kentucky,2,78,2,2,0,1,1,0,0,1,0,11
331338,SOUTH,South Atlantic,37,NC,North Carolina,2,34,1,2,0,1,3,1,2,0,5,12
287332,WEST,Pacific,6,CA,California,1,60,1,3,0,2,4,1,3,0,5,13
90961,WEST,Mountain North,49,UT,Utah,2,45,1,2,0,1,1,0,1,0,2,9
251852,WEST,Mountain North,16,ID,Idaho,1,22,4,3,0,1,5,0,5,0,5,4
41591,SOUTH,South Atlantic,13,GA,Georgia,1,76,3,3,0,1,1,0,0,1,5,10
44141,SOUTH,West South Central,22,LA,Louisiana,1,32,1,4,0,1,3,1,2,0,5,15
441213,SOUTH,East South Central,21,KY,Kentucky,2,47,3,4,0,1,4,2,2,0,5,15
428387,MIDWEST,East North Central,26,MI,Michigan,1,67,3,4,0,1,2,0,0,2,0,13
15246,MIDWEST,West North Central,20,KS,Kansas,2,71,1,3,0,1,1,0,0,1,3,13
149667,SOUTH,East South Central,47,TN,Tennessee,1,73,3,1,0,2,1,0,0,1,5,3
248675,MIDWEST,West North Central,38,ND,North Dakota,2,90,3,1,0,1,1,0,0,1,5,10
152804,SOUTH,West South Central,40,OK,Oklahoma,2,32,1,2,0,1,2,0,2,0,5,14
492050,WEST,Mountain North,49,UT,Utah,1,45,1,3,0,1,4,1,3,0,5,14
141024,SOUTH,East South Central,47,TN,Tennessee,1,90,4,4,0,1,1,0,0,1,5,14
217583,WEST,Pacific,6,CA,California,2,38,2,4,0,1,1,0,1,0,0,7
220111,WEST,Pacific,53,WA,Washington,1,58,1,2,0,1,2,0,2,0,5,14
393908,MIDWEST,East North Central,17,IL,Illinois,1,32,1,3,0,1,2,0,2,0,5,15
465822,WEST,Mountain North,16,ID,Idaho,1,52,4,2,1,1,5,1,3,1,5,6
300228,WEST,Mountain South,4,AZ,Arizona,1,48,4,3,0,2,4,1,3,0,5,6
189017,WEST,Pacific,53,WA,Washington,1,27,4,5,0,1,2,0,2,0,5,8
238662,SOUTH,South Atlantic,45,SC,South Carolina,1,50,1,4,0,1,4,0,4,0,0,16
399840,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,2,59,3,2,1,2,1,0,1,0,5,14
132303,NORTHEAST,Middle Atlantic,36,NY,New York,1,29,1,4,0,1,2,1,1,0,5,7
220308,WEST,Pacific,6,CA,California,2,86,3,4,0,1,2,0,0,2,5,16
85236,SOUTH,West South Central,48,TX,Texas,1,56,1,3,0,1,4,1,3,0,1,16
286093,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,1,27,1,5,1,2,2,1,1,0,5,6
322558,NORTHEAST,New England,44,RI,Rhode Island,2,66,1,4,0,1,4,0,2,2,5,16
96723,WEST,Mountain North,16,ID,Idaho,1,48,1,3,1,1,2,0,2,0,2,14
314365,SOUTH,South Atlantic,45,SC,South Carolina,2,44,1,4,0,1,3,1,2,0,5,16
34184,MIDWEST,East North Central,55,WI,Wisconsin,1,37,4,3,0,1,1,0,1,0,5,1
304654,SOUTH,West South Central,48,TX,Texas,2,75,3,3,1,3,3,1,0,2,5,13
280758,WEST,Pacific,6,CA,California,1,78,3,5,0,1,3,0,1,2,5,15
103183,SOUTH,South Atlantic,12,FL,Florida,1,61,4,2,0,2,1,0,1,0,1,1
64034,NORTHEAST,New England,25,MA,Massachusetts,2,63,1,4,0,1,2,0,2,0,5,15
259356,WEST,Mountain South,4,AZ,Arizona,1,43,4,3,0,1,4,2,2,0,5,15
203529,SOUTH,South Atlantic,24,MD,Maryland,2,62,1,5,0,1,5,1,3,1,5,16
428088,SOUTH,West South Central,22,LA,Louisiana,1,57,1,3,0,2,2,0,2,0,3,12
253824,NORTHEAST,New England,9,CT,Connecticut,1,80,3,4,0,1,2,0,0,2,5,12
279755,WEST,Pacific,41,OR,Oregon,1,70,3,3,0,1,2,0,0,2,5,4
406410,WEST,Mountain North,56,WY,Wyoming,1,68,3,2,0,1,1,0,0,1,5,13
393790,WEST,Pacific,15,HI,Hawaii,2,21,1,2,1,1,2,0,2,0,2,8
384983,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,2,68,1,4,0,1,1,0,0,1,3,12
436929,SOUTH,West South Central,48,TX,Texas,2,55,1,5,0,1,3,0,3,0,5,15
180866,MIDWEST,East North Central,17,IL,Illinois,1,77,3,3,0,1,2,0,1,1,5,7
301256,WEST,Pacific,53,WA,Washington,1,50,1,2,1,1,3,1,2,0,5,14
460129,SOUTH,East South Central,28,MS,Mississippi,1,54,1,5,0,2,2,0,2,0,0,12
92798,NORTHEAST,New England,9,CT,Connecticut,1,82,3,5,0,1,1,0,0,1,5,13
343051,WEST,Mountain South,32,NV,Nevada,2,68,3,4,0,1,2,0,1,1,5,16
315734,WEST,Mountain North,49,UT,Utah,2,44,1,5,0,1,5,3,2,0,5,15
303572,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,1,66,3,2,0,2,2,0,1,1,5,11
484134,MIDWEST,East North Central,26,MI,Michigan,2,36,1,3,0,1,4,2,2,0,0,13
479765,SOUTH,South Atlantic,37,NC,North Carolina,1,48,1,3,0,1,2,0,2,0,5,15
143343,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,2,46,1,4,0,1,4,2,2,0,5,16
80082,SOUTH,West South Central,48,TX,Texas,1,67,1,4,0,1,1,0,0,1,2,12
368118,NORTHEAST,New England,25,MA,Massachusetts,1,26,1,4,0,1,3,0,3,0,5,16
369629,NORTHEAST,New England,23,ME,Maine,1,56,3,2,0,1,1,0,1,0,5,2
110297,MIDWEST,West North Central,31,NE,Nebraska,1,57,1,3,0,1,4,1,3,0,5,14
385193,SOUTH,South Atlantic,24,MD,Maryland,1,61,1,5,0,3,1,0,1,0,5,16
17474,WEST,Pacific,6,CA,California,1,36,2,3,1,1,5,2,3,0,5,6
94617,SOUTH,South Atlantic,45,SC,South Carolina,2,56,1,3,0,1,2,0,2,0,2,14
407648,WEST,Mountain North,49,UT,Utah,1,50,2,1,1,1,2,1,1,0,2,7
5152,SOUTH,South Atlantic,12,FL,Florida,2,69,3,4,0,1,2,0,0,2,5,12
433846,SOUTH,West South Central,22,LA,Louisiana,2,73,3,3,0,1,1,0,0,1,5,6
415911,NORTHEAST,New England,9,CT,Connecticut,1,28,4,3,0,1,2,0,2,0,5,1
175048,WEST,Mountain North,8,CO,Colorado,2,56,1,3,0,1,4,1,3,0,5,16
328548,MIDWEST,West North Central,38,ND,North Dakota,2,60,1,2,0,1,2,0,2,0,5,15
301669,WEST,Pacific,6,CA,California,2,46,1,4,0,1,1,0,1,0,5,16
282942,SOUTH,South Atlantic,45,SC,South Carolina,1,42,1,3,0,1,3,1,2,0,4,15
144358,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,1,80,3,4,0,1,2,0,1,1,5,10
102296,MIDWEST,West North Central,31,NE,Nebraska,2,18,1,2,0,1,2,0,2,0,5,7
263723,WEST,Mountain North,8,CO,Colorado,2,29,1,5,0,4,2,0,2,0,5,15
361467,SOUTH,South Atlantic,37,NC,North Carolina,2,48,1,4,0,1,4,2,2,0,5,16
337520,WEST,Mountain North,8,CO,Colorado,2,41,1,4,0,1,3,1,2,0,5,16
465774,WEST,Mountain South,4,AZ,Arizona,2,85,3,4,0,1,1,0,0,1,5,11
493791,SOUTH,East South Central,47,TN,Tennessee,1,90,3,3,0,1,1,0,0,1,5,7
174722,WEST,Mountain North,16,ID,Idaho,1,80,3,2,0,1,1,0,0,1,5,6
163667,MIDWEST,East North Central,39,OH,Ohio,2,67,1,3,0,2,3,0,2,1,5,15
326661,NORTHEAST,Middle Atlantic,36,NY,New York,1,35,1,3,0,1,1,0,1,0,0,8
144738,SOUTH,South Atlantic,37,NC,North Carolina,1,22,1,2,0,1,3,0,3,0,3,12
292203,NORTHEAST,New England,9,CT,Connecticut,2,64,1,3,0,1,2,0,2,0,4,16
53429,NORTHEAST,Middle Atlantic,36,NY,New York,2,57,2,2,0,2,2,0,2,0,3,4
328774,WEST,Mountain North,30,MT,Montana,2,56,1,4,0,1,2,0,1,1,2,15
227143,WEST,Mountain South,32,NV,Nevada,1,43,4,2,0,1,2,0,2,0,5,1
163626,NORTHEAST,New England,50,VT,Vermont,2,63,1,5,0,1,2,0,2,0,4,15
6598,WEST,Mountain South,32,NV,Nevada,2,18,4,3,1,1,3,0,3,0,5,14
339071,NORTHEAST,Middle Atlantic,36,NY,New York,1,51,2,4,0,1,1,0,1,0,4,8
497648,WEST,Mountain South,32,NV,Nevada,1,62,4,5,0,1,2,0,2,0,5,15
351337,WEST,Pacific,6,CA,California,1,64,3,2,0,1,1,0,1,0,5,7
96685,SOUTH,South Atlantic,45,SC,South Carolina,2,29,1,3,0,1,3,0,3,0,5,8
6958,SOUTH,South Atlantic,45,SC,South Carolina,1,41,1,5,0,1,4,2,2,0,5,15
209558,WEST,Pacific,6,CA,California,1,53,1,5,0,1,2,0,2,0,5,15
465410,WEST,Mountain North,16,ID,Idaho,2,71,3,4,0,4,2,0,0,2,5,12
49365,NORTHEAST,New England,25,MA,Massachusetts,1,90,3,2,0,1,2,0,1,1,5,10
156078,SOUTH,South Atlantic,51,VA,Virginia,2,80,3,4,0,1,2,0,0,2,5,14
90243,SOUTH,South Atlantic,12,FL,Florida,2,60,2,3,0,1,2,1,1,0,5,6
158889,NORTHEAST,Middle Atlantic,36,NY,New York,1,35,2,4,0,1,1,0,1,0,5,11
308823,WEST,Pacific,6,CA,California,1,65,3,2,0,2,2,0,0,2,5,15
3956,MIDWEST,West North Central,46,SD,South Dakota,1,30,1,4,0,1,2,0,2,0,0,14
318881,MIDWEST,West North Central,29,MO,Missouri,1,79,3,3,0,1,3,0,1,2,5,11
68004,SOUTH,West South Central,5,AR,Arkansas,2,50,2,4,0,1,1,0,1,0,0,9
406306,WEST,Pacific,6,CA,California,1,48,2,2,1,1,6,1,5,0,5,13
192477,WEST,Pacific,6,CA,California,1,77,3,5,0,1,1,0,0,1,5,14
95175,SOUTH,West South Central,48,TX,Texas,1,43,1,3,0,1,6,3,3,0,5,14
92150,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,2,75,3,5,0,1,2,0,0,2,5,16
409970,NORTHEAST,Middle Atlantic,36,NY,New York,2,27,2,4,0,1,3,0,1,2,4,15
406320,SOUTH,West South Central,40,OK,Oklahoma,2,68,3,2,0,1,1,0,0,1,5,8
492284,WEST,Pacific,41,OR,Oregon,2,27,1,4,0,1,1,0,1,0,5,11
302427,WEST,Mountain North,8,CO,Colorado,1,34,1,4,0,6,5,3,2,0,3,15
347976,MIDWEST,West North Central,20,KS,Kansas,2,33,1,3,0,1,3,1,2,0,5,15
190845,MIDWEST,East North Central,17,IL,Illinois,1,62,1,4,0,1,3,0,3,0,5,14
292888,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,2,61,4,2,0,1,3,0,2,1,5,16
143209,MIDWEST,East North Central,17,IL,Illinois,2,76,3,1,0,1,2,0,0,2,5,14
57781,NORTHEAST,Middle Atlantic,36,NY,New York,1,58,3,2,0,1,4,2,1,1,5,14
111751,MIDWEST,East North Central,55,WI,Wisconsin,1,31,4,3,0,6,6,4,2,0,5,12
333871,SOUTH,West South Central,48,TX,Texas,2,35,2,2,1,2,4,1,3,0,5,1
126278,WEST,Pacific,15,HI,Hawaii,2,90,3,4,0,1,1,0,0,1,5,7
81318,WEST,Pacific,15,HI,Hawaii,1,51,2,5,0,6,3,1,2,0,5,16
218532,MIDWEST,East North Central,55,WI,Wisconsin,2,65,1,3,0,1,2,0,1,1,5,14
381690,SOUTH,South Atlantic,13,GA,Georgia,2,85,3,3,0,1,2,0,0,2,5,13
313010,SOUTH,South Atlantic,13,GA,Georgia,2,77,3,4,0,1,2,0,0,2,5,16
187663,MIDWEST,West North Central,27,MN,Minnesota,2,44,4,3,0,1,4,2,2,0,5,4
435136,WEST,Mountain South,32,NV,Nevada,2,71,1,3,0,4,6,0,4,2,5,13
359746,NORTHEAST,New England,25,MA,Massachusetts,2,49,4,3,0,1,1,0,1,0,5,7
422290,MIDWEST,East North Central,26,MI,Michigan,1,57,3,4,0,2,2,0,2,0,5,15
89526,MIDWEST,West North Central,46,SD,South Dakota,2,38,1,5,0,1,4,2,2,0,5,16
263650,SOUTH,West South Central,5,AR,Arkansas,1,76,1,3,0,1,2,0,1,1,2,9
155332,NORTHEAST,Middle Atlantic,36,NY,New York,2,75,3,2,0,1,2,0,0,2,5,9
109982,MIDWEST,East North Central,26,MI,Michigan,2,68,3,2,0,1,3,0,2,1,5,7
28361,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,2,47,1,5,0,1,5,0,5,0,5,16
80405,WEST,Pacific,41,OR,Oregon,1,31,4,4,0,1,1,0,1,0,5,12
404165,SOUTH,South Atlantic,10,DE,Delaware,1,74,3,3,0,1,1,0,0,1,5,12
56326,WEST,Pacific,15,HI,Hawaii,2,69,1,5,0,4,2,0,0,2,0,14
131476,MIDWEST,West North Central,20,KS,Kansas,2,33,1,5,0,1,6,3,3,0,5,16
3811,WEST,Mountain South,4,AZ,Arizona,1,34,2,2,0,1,1,0,1,0,4,1
321226,WEST,Mountain North,8,CO,Colorado,2,29,4,2,0,1,2,0,2,0,5,7
7532,SOUTH,West South Central,48,TX,Texas,2,49,1,3,1,1,2,0,2,0,3,13
436239,SOUTH,South Atlantic,13,GA,Georgia,1,60,1,3,0,1,2,0,1,1,5,16
246343,MIDWEST,East North Central,17,IL,Illinois,1,61,1,3,1,1,2,0,2,0,5,16
387395,NORTHEAST,Middle Atlantic,36,NY,New York,2,89,3,1,0,1,2,0,0,2,5,7
178139,SOUTH,South Atlantic,51,VA,Virginia,1,51,3,4,0,1,3,1,2,0,5,16
184947,WEST,Pacific,15,HI,Hawaii,1,71,3,3,0,4,4,0,3,1,5,6
319181,WEST,Pacific,6,CA,California,2,67,3,4,0,1,2,0,0,2,5,14
320592,SOUTH,South Atlantic,12,FL,Florida,1,63,3,5,0,1,2,0,1,1,5,13
442511,WEST,Mountain North,8,CO,Colorado,1,31,1,4,0,6,1,0,1,0,5,14
81858,SOUTH,West South Central,48,TX,Texas,1,68,3,3,0,1,1,0,0,1,5,10
301164,MIDWEST,East North Central,18,IN,Indiana,1,39,1,4,0,1,4,2,2,0,5,16
39780,MIDWEST,East North Central,55,WI,Wisconsin,1,67,3,3,0,1,1,0,0,1,5,12
340659,SOUTH,South Atlantic,10,DE,Delaware,1,68,2,4,0,1,1,0,0,1,5,10
355751,SOUTH,West South Central,5,AR,Arkansas,1,64,1,3,0,2,1,0,1,0,5,6
153744,MIDWEST,West North Central,19,IA,Iowa,2,46,1,5,0,4,3,1,2,0,5,16
91797,SOUTH,South Atlantic,37,NC,North Carolina,2,71,3,3,0,1,2,0,0,2,3,12
174755,SOUTH,South Atlantic,51,VA,Virginia,1,59,1,5,0,1,2,0,2,0,0,15
187061,SOUTH,West South Central,40,OK,Oklahoma,2,75,3,5,0,1,2,0,0,2,5,15
338990,WEST,Mountain North,8,CO,Colorado,1,63,3,5,0,3,3,0,3,0,5,16
75643,WEST,Pacific,6,CA,California,1,90,3,1,0,1,1,0,0,1,5,1
212461,WEST,Pacific,6,CA,California,1,58,2,2,0,1,2,0,2,0,5,8
271304,MIDWEST,East North Central,17,IL,Illinois,2,62,4,4,0,1,2,0,2,0,4,3
59679,SOUTH,West South Central,5,AR,Arkansas,1,59,1,3,0,1,2,0,2,0,5,11
49234,SOUTH,East South Central,1,AL,Alabama,1,84,3,1,0,2,2,0,0,2,5,11
240066,WEST,Pacific,2,AK,Alaska,2,54,4,2,0,1,1,0,1,0,3,1
12844,WEST,Mountain South,4,AZ,Arizona,2,90,3,4,0,1,1,0,0,1,5,2
392018,SOUTH,West South Central,48,TX,Texas,2,72,1,3,0,1,2,0,0,2,5,14
409330,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,2,71,3,3,0,1,2,0,0,2,5,13
35624,SOUTH,East South Central,1,AL,Alabama,1,76,3,4,0,1,1,0,0,1,5,12
440358,SOUTH,West South Central,48,TX,Texas,1,64,1,3,0,1,2,0,1,1,5,13
257473,MIDWEST,East North Central,18,IN,Indiana,2,69,3,2,0,1,2,0,1,1,5,14
271439,MIDWEST,West North Central,38,ND,North Dakota,1,52,4,2,0,1,1,0,1,0,3,1
493617,SOUTH,West South Central,48,TX,Texas,2,46,2,4,0,1,4,2,2,0,5,15
98907,SOUTH,South Atlantic,54,WV,West Virginia,1,29,4,3,1,1,4,2,2,0,5,15
71205,NORTHEAST,New England,25,MA,Massachusetts,1,49,4,4,0,1,4,2,2,0,5,16
68848,NORTHEAST,New England,25,MA,Massachusetts,1,60,3,2,0,1,1,0,1,0,5,9
251744,SOUTH,South Atlantic,24,MD,Maryland,1,42,1,4,0,2,5,3,1,1,5,15
231682,NORTHEAST,New England,23,ME,Maine,1,52,2,2,0,1,4,0,4,0,5,14
432929,SOUTH,South Atlantic,51,VA,Virginia,1,50,1,5,0,1,3,1,2,0,5,16
98948,WEST,Pacific,41,OR,Oregon,1,60,1,3,0,6,2,0,2,0,5,11
480264,NORTHEAST,New England,44,RI,Rhode Island,1,61,2,3,0,1,2,0,2,0,5,10
414024,MIDWEST,East North Central,55,WI,Wisconsin,2,72,3,3,0,1,2,0,1,1,5,13
113608,WEST,Mountain South,4,AZ,Arizona,2,79,3,5,0,1,1,0,0,1,5,13
3172,WEST,Mountain North,8,CO,Colorado,1,45,1,3,0,6,1,0,1,0,2,9
472831,NORTHEAST,New England,9,CT,Connecticut,1,45,1,4,0,1,3,1,2,0,5,16
273839,SOUTH,South Atlantic,12,FL,Florida,2,73,1,5,0,1,1,0,0,1,5,16
46699,WEST,Pacific,15,HI,Hawaii,1,64,1,2,0,4,4,0,3,1,5,13
360709,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,2,83,3,3,0,1,2,0,0,2,4,11
80012,SOUTH,South Atlantic,13,GA,Georgia,1,43,1,3,0,2,7,4,3,0,5,13
36229,WEST,Mountain North,16,ID,Idaho,2,38,1,5,1,3,2,0,2,0,2,14
184042,MIDWEST,West North Central,19,IA,Iowa,2,59,1,3,0,1,1,0,1,0,5,15
222308,MIDWEST,West North Central,29,MO,Missouri,1,51,1,3,0,1,1,0,1,0,0,7
191453,MIDWEST,West North Central,19,IA,Iowa,2,77,3,2,0,1,2,0,0,2,5,14
298698,NORTHEAST,New England,9,CT,Connecticut,1,23,2,4,0,1,3,0,3,0,4,2
83855,SOUTH,South Atlantic,54,WV,West Virginia,1,65,3,1,0,1,2,0,0,2,5,2
247411,MIDWEST,East North Central,17,IL,Illinois,2,39,1,4,0,4,4,2,2,0,5,16
71535,WEST,Mountain North,30,MT,Montana,1,50,3,2,0,1,4,2,1,1,5,7
206890,NORTHEAST,New England,33,NH,New Hampshire,1,70,3,4,0,1,5,0,2,3,5,10
407090,WEST,Mountain North,8,CO,Colorado,1,28,1,4,0,1,1,0,1,0,5,13
